Area,Floors,Bedrooms,Bathrooms,Price,Legal status_Sale contract,City_Bình Dương,City_Bình Thuận,City_Bắc Ninh,City_Cần Thơ,City_Hà Nội,City_Hưng Yên,City_Hải Phòng,City_Hồ Chí Minh,City_Khánh Hòa,City_Kiên Giang,City_Long An,City_Lâm Đồng,City_Other,City_Quảng Ninh,City_Thanh Hóa,City_Đà Nẵng,City_Đắk Lắk,City_Đồng Nai
36.0,5.0,4.0,4.0,6.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
100.0,3.0,4.0,4.0,8.49,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
120.0,4.0,3.0,3.0,5.85,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
78.0,3.0,3.0,3.0,5.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
132.0,2.0,3.0,2.0,7.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
102.0,1.0,2.0,1.0,6.8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
101.0,3.0,4.0,3.0,6.6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
81.0,1.0,1.0,1.0,5.8,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35.0,5.0,4.0,3.0,3.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
75.0,3.0,3.0,3.0,7.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
62.0,4.0,6.0,4.0,6.9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
100.0,3.0,3.0,3.0,3.9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
42.0,4.0,5.0,4.0,8.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
75.0,5.0,3.0,3.0,8.6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
78.0,5.0,3.0,3.0,9.4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
33.0,5.0,3.0,4.0,4.15,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
31.0,5.0,3.0,3.0,2.9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
83.6,4.0,4.0,5.0,8.6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
56.0,6.0,4.0,4.0,5.3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
90.0,4.0,4.0,5.0,3.85,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
55.0,5.0,6.0,5.0,8.3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
50.0,2.0,2.0,2.0,3.9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
65.0,4.0,4.0,5.0,4.2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
60.0,3.0,3.0,3.0,4.3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
100.0,3.0,3.0,4.0,3.95,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
33.0,3.0,1.0,1.0,1.4,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
60.0,3.0,3.0,3.0,4.7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
70.0,5.0,5.0,4.0,6.9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
40.0,4.0,5.0,4.0,9.1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
40.0,5.0,6.0,3.0,6.25,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
66.0,4.0,5.0,3.0,8.95,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35.0,4.0,4.0,3.0,6.25,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
74.0,2.0,4.0,3.0,6.83,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
45.0,2.0,2.0,2.0,4.4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
70.0,3.0,3.0,3.0,6.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
45.0,3.0,3.0,3.0,7.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
85.0,2.0,4.0,4.0,5.9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48.0,4.0,5.0,3.0,6.4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
56.1,4.0,4.0,3.0,6.3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
40.0,5.0,3.0,3.0,7.48,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
36.5,6.0,3.0,4.0,4.1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
36.0,4.0,3.0,3.0,7.49,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
64.0,5.0,4.0,5.0,6.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
12.0,5.0,3.0,4.0,1.8,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
90.0,3.0,3.0,2.0,3.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
53.0,5.0,6.0,5.0,6.39,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
96.0,2.0,5.0,5.0,8.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
31.0,3.0,4.0,3.0,6.8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
56.0,4.0,4.0,5.0,8.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
116.8,3.0,3.0,2.0,7.3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
56.0,5.0,3.0,3.0,7.6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
64.0,5.0,6.0,6.0,5.98,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
65.0,3.0,3.0,3.0,4.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
50.0,4.0,4.0,4.0,7.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
100.0,3.0,3.0,3.0,2.15,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
70.0,3.0,3.0,3.0,9.6,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
55.0,5.0,4.0,5.0,6.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
37.0,6.0,3.0,3.0,5.6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
45.0,4.0,4.0,3.0,4.95,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
30.0,6.0,3.0,4.0,4.6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
67.5,4.0,4.0,4.0,4.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
45.0,5.0,3.0,4.0,5.7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
46.5,3.0,3.0,3.0,2.8,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
68.0,1.0,3.0,3.0,2.8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
120.0,3.0,3.0,3.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
40.0,2.0,2.0,2.0,1.38,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
120.0,5.0,3.0,3.0,8.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
98.0,3.0,3.0,3.0,6.9,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
80.0,3.0,4.0,4.0,1.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
32.0,5.0,3.0,4.0,5.7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
75.0,1.0,3.0,1.0,2.35,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
90.0,3.0,3.0,4.0,5.8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
86.0,2.0,8.0,2.0,7.6,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
70.0,3.0,4.0,4.0,2.7,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
120.0,5.0,3.0,3.0,10.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
41.8,3.0,3.0,3.0,2.85,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
48.6,3.0,2.0,2.0,2.95,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
56.0,3.0,3.0,3.0,4.65,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
32.0,3.0,3.0,4.0,3.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
42.0,5.0,3.0,4.0,8.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
114.0,5.0,3.0,3.0,8.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
53.0,2.0,4.0,3.0,4.35,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
33.0,4.0,4.0,4.0,5.4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
68.0,3.0,3.0,3.0,8.5,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
40.0,5.0,4.0,4.0,6.3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
72.0,3.0,4.0,4.0,8.35,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
40.0,1.0,2.0,2.0,2.35,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
20.0,3.0,2.0,2.0,2.8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
91.0,3.0,3.0,3.0,3.5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
45.0,5.0,3.0,3.0,4.5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
52.0,4.0,4.0,3.0,7.2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
34.0,4.0,3.0,4.0,2.95,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
112.5,3.0,5.0,3.0,4.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
34.0,3.0,3.0,3.0,2.1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
98.4,1.0,3.0,2.0,1.19,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
20.0,4.0,3.0,3.0,3.6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
26.4,3.0,2.0,1.0,3.85,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
75.0,4.0,3.0,3.0,4.35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
60.0,3.0,4.0,5.0,5.6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
51.0,2.0,3.0,4.0,6.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35.0,3.0,3.0,3.0,5.65,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
34.0,5.0,4.0,4.0,8.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
40.0,6.0,4.0,4.0,3.25,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
55.0,6.0,8.0,6.0,7.6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
120.0,2.0,4.0,2.0,7.9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56.0,5.0,3.0,3.0,7.6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
60.0,3.0,3.0,2.0,2.95,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60.0,4.0,4.0,4.0,6.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
40.0,4.0,4.0,4.0,2.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
100.0,3.0,4.0,3.0,5.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30.0,5.0,3.0,4.0,4.1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
11.0,3.0,2.0,2.0,1.85,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
110.0,2.0,2.0,2.0,5.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
135.0,3.0,3.0,3.0,7.55,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54.0,4.0,4.0,4.0,5.7,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
40.0,4.0,4.0,4.0,1.95,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
58.3,3.0,4.0,5.0,5.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
53.0,4.0,3.0,4.0,6.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
27.0,6.0,3.0,3.0,7.5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
